source,source_type,route,origin,destination,travel_date,booking_window,base_fare,taxes,convenience_fee,total_fare,fare_class,availability,scrape_timestamp,flight_number,airline_code,raw_payload
Goibibo,ota,DEL-BOM,DEL,BOM,2026-09-09,T+1,6733.45,1597.87,350.0,8681.32,Economy,Available,2026-09-08T08:51:46.900021,6E-6104,6E,"{'scraped_at': '2026-09-08T08:51:46.899957', 'source': 'Goibibo'}"
IndiGo,airline,DEL-BOM,DEL,BOM,2026-09-15,T+7,5367.17,1041.79,0.0,6408.96,Economy,Available,2026-09-08T08:51:47.295903,6E-512,6E,"{'scraped_at': '2026-09-08T08:51:47.295835', 'source': 'IndiGo'}"
Air India,airline,DEL-BOM,DEL,BOM,2026-09-15,T+7,5880.54,1225.34,0.0,7105.88,Economy,Available,2026-09-08T08:51:46.936867,AI-805,AI,"{'scraped_at': '2026-09-08T08:51:46.936802', 'source': 'Air India'}"
Akasa Air,airline,DEL-BOM,DEL,BOM,2026-09-15,T+7,5126.98,1100.13,0.0,6227.11,Economy,Available,2026-09-08T08:51:42.082831,QP-1301,QP,"{'scraped_at': '2026-09-08T08:51:42.082760', 'source': 'Akasa Air'}"
SpiceJet,airline,DEL-BOM,DEL,BOM,2026-09-15,T+7,5209.48,1147.06,0.0,6356.54,Economy,Available,2026-09-08T08:51:42.195071,SG-8169,SG,"{'scraped_at': '2026-09-08T08:51:42.195001', 'source': 'SpiceJet'}"
Air India Express,airline,DEL-BOM,DEL,BOM,2026-09-15,T+7,5181.33,1115.85,0.0,6297.18,Economy,Available,2026-09-08T08:51:44.646816,IX-1422,IX,"{'scraped_at': '2026-09-08T08:51:44.646746', 'source': 'Air India Express'}"
MakeMyTrip,ota,DEL-BOM,DEL,BOM,2026-09-15,T+7,5599.02,1044.93,350.0,6993.95,Economy,Available,2026-09-08T08:51:47.303739,6E-204,6E,"{'scraped_at': '2026-09-08T08:51:47.303671', 'source': 'MakeMyTrip'}"
Yatra,ota,DEL-BOM,DEL,BOM,2026-09-15,T+7,5324.14,1035.77,350.0,6709.91,Economy,Available,2026-09-08T08:51:47.263644,AI-506,AI,"{'scraped_at': '2026-09-08T08:51:47.263577', 'source': 'Yatra'}"
EaseMyTrip,ota,DEL-BOM,DEL,BOM,2026-09-15,T+7,5132.81,1070.8,0.0,6203.61,Economy,Available,2026-09-08T08:51:41.541345,QP-1102,QP,"{'scraped_at': '2026-09-08T08:51:41.541251', 'source': 'EaseMyTrip'}"
Cleartrip,ota,DEL-BOM,DEL,BOM,2026-09-15,T+7,5539.68,1279.75,350.0,7169.43,Economy,Available,2026-09-08T08:51:42.371057,SG-8101,SG,"{'scraped_at': '2026-09-08T08:51:42.370976', 'source': 'Cleartrip'}"
Ixigo,ota,DEL-BOM,DEL,BOM,2026-09-15,T+7,5270.45,1063.21,350.0,6683.66,Economy,Available,2026-09-08T08:51:41.499523,IX-2841,IX,"{'scraped_at': '2026-09-08T08:51:41.499459', 'source': 'Ixigo'}"
Goibibo,ota,DEL-BOM,DEL,BOM,2026-09-15,T+7,5461.88,1043.19,350.0,6855.07,Economy,Available,2026-09-08T08:51:46.882371,6E-6104,6E,"{'scraped_at': '2026-09-08T08:51:46.882307', 'source': 'Goibibo'}"
IndiGo,airline,DEL-BOM,DEL,BOM,2026-09-23,T+15,4654.24,934.82,0.0,5589.06,Economy,Available,2026-09-08T08:51:46.872483,6E-512,6E,"{'scraped_at': '2026-09-08T08:51:46.872408', 'source': 'IndiGo'}"
Air India,airline,DEL-BOM,DEL,BOM,2026-09-23,T+15,5211.86,1166.32,0.0,6378.18,Economy,Available,2026-09-08T08:51:47.824217,AI-805,AI,"{'scraped_at': '2026-09-08T08:51:47.824155', 'source': 'Air India'}"
Akasa Air,airline,DEL-BOM,DEL,BOM,2026-09-23,T+15,4533.51,1065.67,0.0,5599.18,Economy,Available,2026-09-08T08:51:41.471449,QP-1301,QP,"{'scraped_at': '2026-09-08T08:51:41.455048', 'source': 'Akasa Air'}"
SpiceJet,airline,DEL-BOM,DEL,BOM,2026-09-23,T+15,4336.94,859.84,0.0,5196.78,Economy,Available,2026-09-08T08:51:42.196233,SG-8169,SG,"{'scraped_at': '2026-09-08T08:51:42.196187', 'source': 'SpiceJet'}"
Air India Express,airline,DEL-BOM,DEL,BOM,2026-09-23,T+15,4270.39,856.46,0.0,5126.85,Economy,Available,2026-09-08T08:51:44.727722,IX-1422,IX,"{'scraped_at': '2026-09-08T08:51:44.727666', 'source': 'Air India Express'}"
MakeMyTrip,ota,DEL-BOM,DEL,BOM,2026-09-23,T+15,4786.88,883.65,350.0,6020.53,Economy,Available,2026-09-08T08:51:47.953766,6E-204,6E,"{'scraped_at': '2026-09-08T08:51:47.953706', 'source': 'MakeMyTrip'}"
Yatra,ota,DEL-BOM,DEL,BOM,2026-09-23,T+15,4946.81,1058.41,350.0,6355.22,Economy,Available,2026-09-08T08:51:48.168209,AI-506,AI,"{'scraped_at': '2026-09-08T08:51:48.168154', 'source': 'Yatra'}"
EaseMyTrip,ota,DEL-BOM,DEL,BOM,2026-09-23,T+15,4620.39,949.04,0.0,5569.43,Economy,Available,2026-09-08T08:51:41.922565,QP-1102,QP,"{'scraped_at': '2026-09-08T08:51:41.922497', 'source': 'EaseMyTrip'}"
Cleartrip,ota,DEL-BOM,DEL,BOM,2026-09-23,T+15,4643.43,1059.95,350.0,6053.38,Economy,Available,2026-09-08T08:51:42.271404,SG-8101,SG,"{'scraped_at': '2026-09-08T08:51:42.271308', 'source': 'Cleartrip'}"
Ixigo,ota,DEL-BOM,DEL,BOM,2026-09-23,T+15,4741.07,973.14,350.0,6064.21,Economy,Available,2026-09-08T08:51:42.072764,IX-2841,IX,"{'scraped_at': '2026-09-08T08:51:42.072618', 'source': 'Ixigo'}"
Goibibo,ota,DEL-BOM,DEL,BOM,2026-09-23,T+15,4930.79,1064.04,350.0,6344.83,Economy,Available,2026-09-08T08:51:47.898132,6E-6104,6E,"{'scraped_at': '2026-09-08T08:51:47.898061', 'source': 'Goibibo'}"
IndiGo,airline,DEL-BOM,DEL,BOM,2026-10-08,T+30,3872.08,700.01,0.0,4572.09,Economy,Available,2026-09-08T08:51:48.209308,6E-512,6E,"{'scraped_at': '2026-09-08T08:51:48.209254', 'source': 'IndiGo'}"
Air India,airline,DEL-BOM,DEL,BOM,2026-10-08,T+30,4687.34,899.67,0.0,5587.01,Economy,Available,2026-09-08T08:51:47.848258,AI-805,AI,"{'scraped_at': '2026-09-08T08:51:47.848192', 'source': 'Air India'}"
Akasa Air,airline,DEL-BOM,DEL,BOM,2026-10-08,T+30,3774.7,901.22,0.0,4675.92,Economy,Available,2026-09-08T08:51:42.061766,QP-1301,QP,"{'scraped_at': '2026-09-08T08:51:42.061675', 'source': 'Akasa Air'}"
SpiceJet,airline,DEL-BOM,DEL,BOM,2026-10-08,T+30,3871.09,899.63,0.0,4770.72,Economy,Available,2026-09-08T08:51:42.276320,SG-8169,SG,"{'scraped_at': '2026-09-08T08:51:42.276261', 'source': 'SpiceJet'}"
Air India Express,airline,DEL-BOM,DEL,BOM,2026-10-08,T+30,3694.13,793.37,0.0,4487.5,Economy,Available,2026-09-08T08:51:44.772347,IX-1422,IX,"{'scraped_at': '2026-09-08T08:51:44.772275', 'source': 'Air India Express'}"
MakeMyTrip,ota,DEL-BOM,DEL,BOM,2026-10-08,T+30,4336.36,843.64,350.0,5530.0,Economy,Available,2026-09-08T08:51:48.227447,6E-204,6E,"{'scraped_at': '2026-09-08T08:51:48.227379', 'source': 'MakeMyTrip'}"
Yatra,ota,DEL-BOM,DEL,BOM,2026-10-08,T+30,3996.21,753.26,350.0,5099.47,Economy,Available,2026-09-08T08:51:48.183545,AI-506,AI,"{'scraped_at': '2026-09-08T08:51:48.183478', 'source': 'Yatra'}"
EaseMyTrip,ota,DEL-BOM,DEL,BOM,2026-10-08,T+30,4258.63,971.65,0.0,5230.28,Economy,Available,2026-09-08T08:51:42.084438,QP-1102,QP,"{'scraped_at': '2026-09-08T08:51:42.084346', 'source': 'EaseMyTrip'}"
Cleartrip,ota,DEL-BOM,DEL,BOM,2026-10-08,T+30,4058.67,734.14,350.0,5142.81,Economy,Available,2026-09-08T08:51:42.268292,SG-8101,SG,"{'scraped_at': '2026-09-08T08:51:42.268223', 'source': 'Cleartrip'}"
Ixigo,ota,DEL-BOM,DEL,BOM,2026-10-08,T+30,3917.46,857.35,350.0,5124.81,Economy,Available,2026-09-08T08:51:42.195736,IX-2841,IX,"{'scraped_at': '2026-09-08T08:51:42.195703', 'source': 'Ixigo'}"
Goibibo,ota,DEL-BOM,DEL,BOM,2026-10-08,T+30,4013.78,849.02,350.0,5212.8,Economy,Available,2026-09-08T08:51:48.237383,6E-6104,6E,"{'scraped_at': '2026-09-08T08:51:48.237319', 'source': 'Goibibo'}"
IndiGo,airline,DEL-BOM,DEL,BOM,2026-10-23,T+45,3739.47,819.82,0.0,4559.29,Economy,Available,2026-09-08T08:51:47.868020,6E-512,6E,"{'scraped_at': '2026-09-08T08:51:47.867955', 'source': 'IndiGo'}"
Air India,airline,DEL-BOM,DEL,BOM,2026-10-23,T+45,4115.08,911.34,0.0,5026.42,Economy,Available,2026-09-08T08:51:47.880399,AI-805,AI,"{'scraped_at': '2026-09-08T08:51:47.880332', 'source': 'Air India'}"
Akasa Air,airline,DEL-BOM,DEL,BOM,2026-10-23,T+45,3485.62,734.25,0.0,4219.87,Economy,Available,2026-09-08T08:51:42.060372,QP-1301,QP,"{'scraped_at': '2026-09-08T08:51:42.060308', 'source': 'Akasa Air'}"
SpiceJet,airline,DEL-BOM,DEL,BOM,2026-10-23,T+45,3614.39,799.44,0.0,4413.83,Economy,Available,2026-09-08T08:51:42.507984,SG-8169,SG,"{'scraped_at': '2026-09-08T08:51:42.507934', 'source': 'SpiceJet'}"
Air India Express,airline,DEL-BOM,DEL,BOM,2026-10-23,T+45,3457.69,668.55,0.0,4126.24,Economy,Available,2026-09-08T08:51:44.761976,IX-1422,IX,"{'scraped_at': '2026-09-08T08:51:44.761931', 'source': 'Air India Express'}"
MakeMyTrip,ota,DEL-BOM,DEL,BOM,2026-10-23,T+45,3859.15,787.37,350.0,4996.52,Economy,Available,2026-09-08T08:51:48.219146,6E-204,6E,"{'scraped_at': '2026-09-08T08:51:48.219078', 'source': 'MakeMyTrip'}"
Yatra,ota,DEL-BOM,DEL,BOM,2026-10-23,T+45,3784.97,706.24,350.0,4841.21,Economy,Available,2026-09-08T08:51:48.202609,AI-506,AI,"{'scraped_at': '2026-09-08T08:51:48.202530', 'source': 'Yatra'}"
EaseMyTrip,ota,DEL-BOM,DEL,BOM,2026-10-23,T+45,3753.45,723.05,0.0,4476.5,Economy,Available,2026-09-08T08:51:42.084876,QP-1102,QP,"{'scraped_at': '2026-09-08T08:51:42.084818', 'source': 'EaseMyTrip'}"
Cleartrip,ota,DEL-BOM,DEL,BOM,2026-10-23,T+45,3924.72,801.6,350.0,5076.32,Economy,Available,2026-09-08T08:51:42.270229,SG-8101,SG,"{'scraped_at': '2026-09-08T08:51:42.270154', 'source': 'Cleartrip'}"
Ixigo,ota,DEL-BOM,DEL,BOM,2026-10-23,T+45,3692.12,703.87,350.0,4745.99,Economy,Available,2026-09-08T08:51:42.192382,IX-2841,IX,"{'scraped_at': '2026-09-08T08:51:42.192328', 'source': 'Ixigo'}"
Goibibo,ota,DEL-BOM,DEL,BOM,2026-10-23,T+45,3727.48,846.37,350.0,4923.85,Economy,Available,2026-09-08T08:51:48.248339,6E-6104,6E,"{'scraped_at': '2026-09-08T08:51:48.248283', 'source': 'Goibibo'}"
IndiGo,airline,DEL-BLR,DEL,BLR,2026-09-09,T+1,7644.32,1759.56,0.0,9403.88,Economy,Available,2026-09-08T08:51:47.937053,6E-512,6E,"{'scraped_at': '2026-09-08T08:51:47.936987', 'source': 'IndiGo'}"
Air India,airline,DEL-BLR,DEL,BLR,2026-09-09,T+1,8658.73,1591.46,0.0,10250.19,Economy,Available,2026-09-08T08:51:47.923194,AI-805,AI,"{'scraped_at': '2026-09-08T08:51:47.923128', 'source': 'Air India'}"
Akasa Air,airline,DEL-BLR,DEL,BLR,2026-09-09,T+1,7300.94,1668.08,0.0,8969.02,Economy,Available,2026-09-08T08:51:42.195471,QP-1301,QP,"{'scraped_at': '2026-09-08T08:51:42.195428', 'source': 'Akasa Air'}"
SpiceJet,airline,DEL-BLR,DEL,BLR,2026-09-09,T+1,7475.25,1366.69,0.0,8841.94,Economy,Available,2026-09-08T08:51:42.276664,SG-8169,SG,"{'scraped_at': '2026-09-08T08:51:42.276617', 'source': 'SpiceJet'}"
Air India Express,airline,DEL-BLR,DEL,BLR,2026-09-09,T+1,7111.88,1500.16,0.0,8612.04,Economy,Available,2026-09-08T08:51:44.770853,IX-1422,IX,"{'scraped_at': '2026-09-08T08:51:44.770806', 'source': 'Air India Express'}"
MakeMyTrip,ota,DEL-BLR,DEL,BLR,2026-09-09,T+1,8339.45,1820.52,350.0,10509.97,Economy,Available,2026-09-08T08:51:47.977413,6E-204,6E,"{'scraped_at': '2026-09-08T08:51:47.977354', 'source': 'MakeMyTrip'}"
Yatra,ota,DEL-BLR,DEL,BLR,2026-09-09,T+1,7884.69,1537.47,350.0,9772.16,Economy,Available,2026-09-08T08:51:49.830009,AI-506,AI,"{'scraped_at': '2026-09-08T08:51:49.829939', 'source': 'Yatra'}"
EaseMyTrip,ota,DEL-BLR,DEL,BLR,2026-09-09,T+1,8006.55,1798.58,0.0,9805.13,Economy,Available,2026-09-08T08:51:42.198720,QP-1102,QP,"{'scraped_at': '2026-09-08T08:51:42.198689', 'source': 'EaseMyTrip'}"
Cleartrip,ota,DEL-BLR,DEL,BLR,2026-09-09,T+1,7972.28,1725.53,350.0,10047.81,Economy,Available,2026-09-08T08:51:43.881010,SG-8101,SG,"{'scraped_at': '2026-09-08T08:51:43.880947', 'source': 'Cleartrip'}"
Ixigo,ota,DEL-BLR,DEL,BLR,2026-09-09,T+1,7675.37,1600.31,350.0,9625.68,Economy,Available,2026-09-08T08:51:42.450940,IX-2841,IX,"{'scraped_at': '2026-09-08T08:51:42.450887', 'source': 'Ixigo'}"
Goibibo,ota,DEL-BLR,DEL,BLR,2026-09-09,T+1,8181.31,1486.0,350.0,10017.31,Economy,Available,2026-09-08T08:51:51.883195,6E-6104,6E,"{'scraped_at': '2026-09-08T08:51:51.883110', 'source': 'Goibibo'}"
IndiGo,airline,DEL-BLR,DEL,BLR,2026-09-15,T+7,6450.63,1280.43,0.0,7731.06,Economy,Available,2026-09-08T08:51:51.951470,6E-512,6E,"{'scraped_at': '2026-09-08T08:51:51.951417', 'source': 'IndiGo'}"
Air India,airline,DEL-BLR,DEL,BLR,2026-09-15,T+7,6765.15,1226.54,0.0,7991.69,Economy,Available,2026-09-08T08:51:51.896776,AI-805,AI,"{'scraped_at': '2026-09-08T08:51:51.896722', 'source': 'Air India'}"
Akasa Air,airline,DEL-BLR,DEL,BLR,2026-09-15,T+7,6192.29,1357.07,0.0,7549.36,Economy,Available,2026-09-08T08:51:42.884040,QP-1301,QP,"{'scraped_at': '2026-09-08T08:51:42.883930', 'source': 'Akasa Air'}"
SpiceJet,airline,DEL-BLR,DEL,BLR,2026-09-15,T+7,5908.9,1188.28,0.0,7097.18,Economy,Available,2026-09-08T08:51:42.962741,SG-8169,SG,"{'scraped_at': '2026-09-08T08:51:42.962678', 'source': 'SpiceJet'}"
Air India Express,airline,DEL-BLR,DEL,BLR,2026-09-15,T+7,5738.26,1111.16,0.0,6849.42,Economy,Available,2026-09-08T08:51:45.006623,IX-1422,IX,"{'scraped_at': '2026-09-08T08:51:45.006541', 'source': 'Air India Express'}"
MakeMyTrip,ota,DEL-BLR,DEL,BLR,2026-09-15,T+7,6213.39,1199.12,350.0,7762.51,Economy,Available,2026-09-08T08:51:51.941377,6E-204,6E,"{'scraped_at': '2026-09-08T08:51:51.941312', 'source': 'MakeMyTrip'}"
Yatra,ota,DEL-BLR,DEL,BLR,2026-09-15,T+7,6078.4,1265.08,350.0,7693.48,Economy,Available,2026-09-08T08:51:49.772367,AI-506,AI,"{'scraped_at': '2026-09-08T08:51:49.772303', 'source': 'Yatra'}"
EaseMyTrip,ota,DEL-BLR,DEL,BLR,2026-09-15,T+7,6046.57,1361.59,0.0,7408.16,Economy,Available,2026-09-08T08:51:42.094413,QP-1102,QP,"{'scraped_at': '2026-09-08T08:51:42.094344', 'source': 'EaseMyTrip'}"
Cleartrip,ota,DEL-BLR,DEL,BLR,2026-09-15,T+7,6596.11,1353.02,350.0,8299.13,Economy,Available,2026-09-08T08:51:43.549830,SG-8101,SG,"{'scraped_at': '2026-09-08T08:51:43.549750', 'source': 'Cleartrip'}"
Ixigo,ota,DEL-BLR,DEL,BLR,2026-09-15,T+7,6255.21,1274.36,350.0,7879.57,Economy,Available,2026-09-08T08:51:42.450090,IX-2841,IX,"{'scraped_at': '2026-09-08T08:51:42.450062', 'source': 'Ixigo'}"
Goibibo,ota,DEL-BLR,DEL,BLR,2026-09-15,T+7,6322.63,1184.29,350.0,7856.92,Economy,Available,2026-09-08T08:51:51.909637,6E-6104,6E,"{'scraped_at': '2026-09-08T08:51:51.909576', 'source': 'Goibibo'}"
IndiGo,airline,DEL-BLR,DEL,BLR,2026-09-23,T+15,5621.05,1210.83,0.0,6831.88,Economy,Available,2026-09-08T08:51:51.915819,6E-512,6E,"{'scraped_at': '2026-09-08T08:51:51.915761', 'source': 'IndiGo'}"
Air India,airline,DEL-BLR,DEL,BLR,2026-09-23,T+15,5754.83,1101.58,0.0,6856.41,Economy,Available,2026-09-08T08:51:52.552226,AI-805,AI,"{'scraped_at': '2026-09-08T08:51:52.552172', 'source': 'Air India'}"
Akasa Air,airline,DEL-BLR,DEL,BLR,2026-09-23,T+15,5063.41,1189.39,0.0,6252.8,Economy,Available,2026-09-08T08:51:42.819216,QP-1301,QP,"{'scraped_at': '2026-09-08T08:51:42.819182', 'source': 'Akasa Air'}"
SpiceJet,airline,DEL-BLR,DEL,BLR,2026-09-23,T+15,5402.99,1018.49,0.0,6421.48,Economy,Available,2026-09-08T08:51:42.962986,SG-8169,SG,"{'scraped_at': '2026-09-08T08:51:42.962962', 'source': 'SpiceJet'}"
Air India Express,airline,DEL-BLR,DEL,BLR,2026-09-23,T+15,4881.88,1163.22,0.0,6045.1,Economy,Available,2026-09-08T08:51:44.547382,IX-1422,IX,"{'scraped_at': '2026-09-08T08:51:44.547294', 'source': 'Air India Express'}"
MakeMyTrip,ota,DEL-BLR,DEL,BLR,2026-09-23,T+15,5569.28,1020.0,350.0,6939.28,Economy,Available,2026-09-08T08:51:52.575615,6E-204,6E,"{'scraped_at': '2026-09-08T08:51:52.575558', 'source': 'MakeMyTrip'}"
Yatra,ota,DEL-BLR,DEL,BLR,2026-09-23,T+15,5565.74,1101.78,350.0,7017.52,Economy,Available,2026-09-08T08:51:49.791310,AI-506,AI,"{'scraped_at': '2026-09-08T08:51:49.791247', 'source': 'Yatra'}"
EaseMyTrip,ota,DEL-BLR,DEL,BLR,2026-09-23,T+15,5533.2,1306.5,0.0,6839.7,Economy,Available,2026-09-08T08:51:42.095946,QP-1102,QP,"{'scraped_at': '2026-09-08T08:51:42.095904', 'source': 'EaseMyTrip'}"
Cleartrip,ota,DEL-BLR,DEL,BLR,2026-09-23,T+15,5376.46,1283.04,350.0,7009.5,Economy,Available,2026-09-08T08:51:43.577587,SG-8101,SG,"{'scraped_at': '2026-09-08T08:51:43.577519', 'source': 'Cleartrip'}"
Ixigo,ota,DEL-BLR,DEL,BLR,2026-09-23,T+15,5342.8,1018.03,350.0,6710.83,Economy,Available,2026-09-08T08:51:42.450372,IX-2841,IX,"{'scraped_at': '2026-09-08T08:51:42.450354', 'source': 'Ixigo'}"
Goibibo,ota,DEL-BLR,DEL,BLR,2026-09-23,T+15,5346.3,1006.48,350.0,6702.78,Economy,Available,2026-09-08T08:51:51.947557,6E-6104,6E,"{'scraped_at': '2026-09-08T08:51:51.947502', 'source': 'Goibibo'}"
IndiGo,airline,DEL-BLR,DEL,BLR,2026-10-08,T+30,4502.91,999.46,0.0,5502.37,Economy,Available,2026-09-08T08:51:51.931591,6E-512,6E,"{'scraped_at': '2026-09-08T08:51:51.931536', 'source': 'IndiGo'}"
Air India,airline,DEL-BLR,DEL,BLR,2026-10-08,T+30,5184.79,999.06,0.0,6183.85,Economy,Available,2026-09-08T08:51:51.957899,AI-805,AI,"{'scraped_at': '2026-09-08T08:51:51.957822', 'source': 'Air India'}"
Akasa Air,airline,DEL-BLR,DEL,BLR,2026-10-08,T+30,4368.99,1038.26,0.0,5407.25,Economy,Available,2026-09-08T08:51:42.579026,QP-1301,QP,"{'scraped_at': '2026-09-08T08:51:42.578964', 'source': 'Akasa Air'}"
SpiceJet,airline,DEL-BLR,DEL,BLR,2026-10-08,T+30,4426.83,1009.69,0.0,5436.52,Economy,Available,2026-09-08T08:51:42.962080,SG-8169,SG,"{'scraped_at': '2026-09-08T08:51:42.962035', 'source': 'SpiceJet'}"
Air India Express,airline,DEL-BLR,DEL,BLR,2026-10-08,T+30,4628.91,854.19,0.0,5483.1,Economy,Available,2026-09-08T08:51:44.988169,IX-1422,IX,"{'scraped_at': '2026-09-08T08:51:44.988103', 'source': 'Air India Express'}"
MakeMyTrip,ota,DEL-BLR,DEL,BLR,2026-10-08,T+30,4770.37,982.13,350.0,6102.5,Economy,Available,2026-09-08T08:51:52.622382,6E-204,6E,"{'scraped_at': '2026-09-08T08:51:52.622309', 'source': 'MakeMyTrip'}"
Yatra,ota,DEL-BLR,DEL,BLR,2026-10-08,T+30,5103.24,940.94,350.0,6394.18,Economy,Available,2026-09-08T08:51:49.875666,AI-506,AI,"{'scraped_at': '2026-09-08T08:51:49.875599', 'source': 'Yatra'}"
EaseMyTrip,ota,DEL-BLR,DEL,BLR,2026-10-08,T+30,4811.0,981.13,0.0,5792.13,Economy,Available,2026-09-08T08:51:42.094831,QP-1102,QP,"{'scraped_at': '2026-09-08T08:51:42.094765', 'source': 'EaseMyTrip'}"
Cleartrip,ota,DEL-BLR,DEL,BLR,2026-10-08,T+30,4853.06,962.67,350.0,6165.73,Economy,Available,2026-09-08T08:51:43.557796,SG-8101,SG,"{'scraped_at': '2026-09-08T08:51:43.557762', 'source': 'Cleartrip'}"
Ixigo,ota,DEL-BLR,DEL,BLR,2026-10-08,T+30,4711.58,1130.59,350.0,6192.17,Economy,Available,2026-09-08T08:51:42.450244,IX-2841,IX,"{'scraped_at': '2026-09-08T08:51:42.450224', 'source': 'Ixigo'}"
Goibibo,ota,DEL-BLR,DEL,BLR,2026-10-08,T+30,4893.49,1075.43,350.0,6318.92,Economy,Available,2026-09-08T08:51:52.588137,6E-6104,6E,"{'scraped_at': '2026-09-08T08:51:52.588073', 'source': 'Goibibo'}"
IndiGo,airline,DEL-BLR,DEL,BLR,2026-10-23,T+45,4202.08,877.95,0.0,5080.03,Economy,Available,2026-09-08T08:51:52.567032,6E-512,6E,"{'scraped_at': '2026-09-08T08:51:52.566955', 'source': 'IndiGo'}"
Air India,airline,DEL-BLR,DEL,BLR,2026-10-23,T+45,4828.71,1080.3,0.0,5909.01,Economy,Available,2026-09-08T08:51:52.069635,AI-805,AI,"{'scraped_at': '2026-09-08T08:51:52.069581', 'source': 'Air India'}"
Akasa Air,airline,DEL-BLR,DEL,BLR,2026-10-23,T+45,4230.6,924.44,0.0,5155.04,Economy,Available,2026-09-08T08:51:42.579300,QP-1301,QP,"{'scraped_at': '2026-09-08T08:51:42.579264', 'source': 'Akasa Air'}"
SpiceJet,airline,DEL-BLR,DEL,BLR,2026-10-23,T+45,4270.13,863.64,0.0,5133.77,Economy,Available,2026-09-08T08:51:42.961111,SG-8169,SG,"{'scraped_at': '2026-09-08T08:51:42.961059', 'source': 'SpiceJet'}"
Air India Express,airline,DEL-BLR,DEL,BLR,2026-10-23,T+45,4282.12,970.53,0.0,5252.65,Economy,Available,2026-09-08T08:51:44.689461,IX-1422,IX,"{'scraped_at': '2026-09-08T08:51:44.689393', 'source': 'Air India Express'}"
MakeMyTrip,ota,DEL-BLR,DEL,BLR,2026-10-23,T+45,4695.86,1066.08,350.0,6111.94,Economy,Available,2026-09-08T08:51:51.968418,6E-204,6E,"{'scraped_at': '2026-09-08T08:51:51.968353', 'source': 'MakeMyTrip'}"
Yatra,ota,DEL-BLR,DEL,BLR,2026-10-23,T+45,4360.75,932.36,350.0,5643.11,Economy,Available,2026-09-08T08:51:50.046700,AI-506,AI,"{'scraped_at': '2026-09-08T08:51:50.046630', 'source': 'Yatra'}"
EaseMyTrip,ota,DEL-BLR,DEL,BLR,2026-10-23,T+45,4641.23,1017.51,0.0,5658.74,Economy,Available,2026-09-08T08:51:42.197908,QP-1102,QP,"{'scraped_at': '2026-09-08T08:51:42.197857', 'source': 'EaseMyTrip'}"
